amount,date,bank,sbank,,,,,
500000,20160302,招商银行,招商,,,,,
500000,20160302,招商银行,招商,,,,,
500000,20160302,招商银行,招商,,,,,
500000,20160302,招商银行,招商,,,,,
500000,20160302,招商银行,招商,,,,,
500000,20160302,招商银行,招商,,,,,
1000000,20160303,中国工商银行,工行,,,,,
100000,20160303,中国银行,中行,,,,,
500000,20160303,招商银行,招商,,,,,
500000,20160303,招商银行,招商,,,,,
500000,20160303,招商银行,招商,,,,,
500000,20160303,招商银行,招商,,,,,
500000,20160303,招商银行,招商,,,,,
500000,20160303,招商银行,招商,,,,,
130000000,20160303,中国工商银行,工行,,,,,
100000000,20160303,中国工商银行,工行,,,,,
40000000,20160303,平安银行,平安,,,,,
1400000,20160303,平安银行,平安,,,,,
990000,20160303,中国民生银行,民生,,,,,
1000000,20160303,中信银行,中信,,,,,
1310000,20160303,中国农业银行,农行,,,,,
100000,20160303,中国光大银行,光大,,,,,
1100000,20160304,中信银行,中信,,,,,
27800000,20160304,中国工商银行,工行,,,,,
260000,20160304,中国光大银行,光大,,,,,
4000000,20160304,中国银行,中行,,,,,
1000000,20160304,招商银行,招商,,,,,
200000,20160304,招商银行,招商,,,,,
13700000,20160304,中国民生银行,民生,,,,,
20000,20160304,华夏银行,华夏,,,,,
2000000,20160304,招商银行,招商,,,,,
200000,20160304,兴业银行,兴业,,,,,
3000000,20160304,中国工商银行,工行,,,,,
14000,20160305,中国银行,中行,,,,,
500000000,20160307,平安银行,平安,,,,,
1000,20160307,中国工商银行,工行,,,,,
1000000,20160307,上海浦东发展银行,浦发,,,,,
11000000,20160307,中国工商银行,工行,,,,,
87000000,20160307,中国光大银行,光大,,,,,
60000000,20160307,其他银行,其它,,,,,
13000000,20160307,中国光大银行,光大,,,,,
300000,20160307,中国建设银行,建行,,,,,
50000000,20160307,招商银行,招商,,,,,
5000000,20160307,中国工商银行,工行,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
500000,20160307,招商银行,招商,,,,,
400000,20160307,平安银行,平安,,,,,
3342000,20160307,平安银行,平安,,,,,
500000,20160307,中国建设银行,建行,,,,,
2000,20160307,中国银行,中行,,,,,
1000,20160308,中国工商银行,工行,,,,,
300000,20160308,中国工商银行,工行,,,,,
63000000,20160308,中国工商银行,工行,,,,,
150000,20160308,中国建设银行,建行,,,,,
3700000,20160308,中国光大银行,光大,,,,,
11000000,20160308,中国光大银行,光大,,,,,
1000000000,20160308,平安银行,平安,,,,,
7250000,20160308,其他银行,其它,,,,,
500000,20160308,中国光大银行,光大,,,,,
13500000,20160308,中国光大银行,光大,,,,,
23000000,20160308,中国光大银行,光大,,,,,
150000000,20160308,招商银行,招商,,,,,
725000,20160308,平安银行,平安,,,,,
20000000,20160308,交通银行,交行,,,,,
90000000,20160308,中国建设银行,建行,,,,,
120000,20160309,中国银行,中行,,,,,
18500000,20160309,中国工商银行,工行,,,,,
19000000,20160309,兴业银行,兴业,,,,,
90000000,20160309,上海浦东发展银行,浦发,,,,,
65000000,20160309,上海浦东发展银行,浦发,,,,,
20000,20160309,华夏银行,华夏,,,,,
1600000,20160309,兴业银行,兴业,,,,,
100000,20160309,招商银行,招商,,,,,
200000,20160309,招商银行,招商,,,,,
20000000,20160309,其他银行,其它,,,,,
650000,20160309,其他银行,其它,,,,,
200000,20160309,中国建设银行,建行,,,,,
2000000,20160309,中国银行,中行,,,,,
1445000,20160309,平安银行,平安,,,,,
5000000,20160309,其他银行,其它,,,,,
4000,20160309,中国工商银行,工行,,,,,
1000000,20160309,招商银行,招商,,,,,
1000000,20160309,招商银行,招商,,,,,
1000000,20160309,招商银行,招商,,,,,
1000000,20160309,招商银行,招商,,,,,
500,20160309,招商银行,招商,,,,,
21500,20160309,中国银行,中行,,,,,
49000,20160310,中国工商银行,工行,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
500000,20160310,招商银行,招商,,,,,
1400000,20160310,招商银行,招商,,,,,
20000000,20160310,中国工商银行,工行,,,,,
34500000,20160310,中国光大银行,光大,,,,,
2250000,20160310,平安银行,平安,,,,,
500000,20160310,中国工商银行,工行,,,,,
2000000,20160310,中国银行,中行,,,,,
235000,20160310,中国农业银行,农行,,,,,
10000000,20160310,其他银行,其它,,,,,
1722000,20160310,平安银行,平安,,,,,
1,20160310,中国工商银行,工行,,,,,
500,20160310,招商银行,招商,,,,,
500000,20160311,中国工商银行,工行,,,,,
500000,20160311,中国工商银行,工行,,,,,
500000,20160311,中国工商银行,工行,,,,,
500000,20160311,上海浦东发展银行,浦发,,,,,
100000,20160311,中国民生银行,民生,,,,,
